fixture,budget_unit,budget,policy,baseline,paired_trials,master_seed,warmup,policy_pcs,equal_pcs,delta_pcs,delta_pcs_ci95_low,delta_pcs_ci95_high,delta_pcs_familywise95_low,delta_pcs_familywise95_high,pcs_comparison_family_size,policy_only_correct,equal_only_correct,both_correct,both_wrong,zero_discordance,policy_unselected,equal_unselected,regret_jointly_selected_trials,mean_policy_regret_on_jointly_selected,mean_equal_regret_on_jointly_selected,mean_delta_regret,delta_regret_ci95_low,delta_regret_ci95_high,regret_interval_status,mean_policy_attempts,mean_equal_attempts,mean_delta_attempts,mean_policy_successful_samples,mean_equal_successful_samples,mean_delta_successful_samples,mean_policy_failures,mean_equal_failures,mean_delta_failures,mean_policy_normalized_compute_cost,mean_equal_normalized_compute_cost,mean_delta_normalized_compute_cost,mean_policy_remaining_budget,mean_equal_remaining_budget,mean_delta_remaining_budget
heterogeneous_cost,cost,4500,cost_ocba,equal,400,20260921,5,0.735,0.705,0.03,-0.03335067789244442,0.092702743547999,-0.046797235420968,0.1058923408953905,4,38,26,256,80,False,0,0,400,0.01325000000000001,0.014750000000000015,-0.0015000000000000013,-0.003375000000000003,0.00037500000000000033,"paired-trial percentile bootstrap; approximate, pointwise",431.4,1072.0,-640.6,431.4,1072.0,-640.6,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0
heterogeneous_cost,cost,4500,ocba,equal,400,20260921,5,0.7275,0.705,0.0225,-0.03683260536110314,0.08133086723745336,-0.04940296321340473,0.0937069741706548,4,32,23,259,86,False,0,0,400,0.013625000000000012,0.014750000000000015,-0.001125000000000001,-0.0030000000000000027,0.0007500000000000007,"paired-trial percentile bootstrap; approximate, pointwise",389.9675,1072.0,-682.0325,389.9675,1072.0,-682.0325,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0
monkeyhub_fixed_massing,cost,4500,cost_ocba,equal,400,20260921,5,0.965,0.9325,0.0325,-0.01813746058958468,0.08232830870772623,-0.0288723415775424,0.09277713192532056,4,26,13,360,1,False,0,0,400,0.003799999999999999,0.007199999999999997,-0.0033999999999999985,-0.006799999999999998,2.7755575615628914e-19,"paired-trial percentile bootstrap; approximate, pointwise",1944.9275,2250.0,-305.0725,1944.9275,2250.0,-305.0725,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0
monkeyhub_fixed_massing,cost,4500,ocba,equal,400,20260921,5,0.96,0.9325,0.0275,-0.020832682219062287,0.07512148008937394,-0.03106718379003015,0.08511272552517007,4,23,12,361,4,False,0,0,400,0.004299999999999999,0.007199999999999997,-0.0028999999999999994,-0.0061499999999999975,0.00030000000000000024,"paired-trial percentile bootstrap; approximate, pointwise",1895.9675,2250.0,-354.0325,1895.9675,2250.0,-354.0325,0.0,0.0,0.0,4500.0,4500.0,0.0,0.0,0.0,0.0
